Author,Paper,Year,Sample Description,Area,Thickness,Volume,Mass,Power,Energy,Theta,capacity,Voltage,time (h),Color,Shape,,Notes
Imprint,None,2015,Imprint speculative,cm^2,mm,mm^3,g,mW,mWh,rad,mAh,V,h,magenta,s,,
,,,,1,0,0,0,27,2.7,,2,1.35,0.1,,,,
,,,,,,,,270,2.7,,,,,,,,
,,,,,,,,198.3303453,8.538149682,,,,,,,,
,,,,,,,,85.38149682,19.83303453,,,,,,,,
,,,,,,,,27,27,,,,,,,,
,,,,,,,,8.538149682,19.83303453,,,,,,,,
,,,,,,,,3.675685629,8.538149682,,,,,,,,
,,,,,,,,2.7,2.7,,,,,,,,
,,,,,,,,3.675685629,0.853814968,,,,,,,,
,,,,,,,,8.538149682,0.367568563,,,,,,,,
,,,,,,,,27,0.27,,,,,,,,
,,,,,,,,85.38149682,0.367568563,,,,,,,,
,,,,,,,,198.3303453,0.853814968,,,,,,,,
